             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
                 e851.dat,   105.590551181,        6.75, 0000 
                 e852.dat,   111.862917399,        8.00, 0000 
                 e853.dat,   121.530460624,       13.25, 0000 
                 e854.dat,   127.060333761,       11.50, 0000 
                 e855.dat,   128.288288288,       10.25, 0000 
                 e856.dat,   123.974609375,        3.50, 0000 
                 e857.dat,   104.240710824,        7.00, 0000 
                 e858.dat,    85.823754789,        7.50, 0000 
                 e862.dat,    74.312727273,        6.25, 0000 
                 e863.dat,    63.239255933,        6.50, 0000 
                 e864.dat,    47.622020431,        6.50, 0000 
                 e874.dat,    74.763358779,        2.25, 0000 
                 e904.dat,    74.991243433,        2.75, 0000 
                 e908.dat,     0.000000000,        0.00, 0077 
              ea61009.dat,    61.357027464,        4.50, 0000 
              ea61012.dat,    68.823933975,        7.75, 0000 
              ea81006.dat,    47.402234637,        3.25, 0000 
            ebambino7.dat,     0.000000000,        0.00, 0077 
             ec863914.dat,   132.823129252,       14.50, 0000 
               eh0009.dat,    61.623246493,        2.75, 0000 
               eh1070.dat,    68.520900322,        7.25, 0000 
               eh1090.dat,    71.722222222,        8.00, 0000 
               eh1590.dat,    88.166894665,        6.25, 0000 
               eh2010.dat,    87.590847914,        5.25, 0000 
               eh2012.dat,   101.123829344,        6.00, 0000 
               eh2070.dat,    82.067851373,        8.50, 0000 
               eh2510.dat,   109.344059406,        7.00, 0000 
               eh3012.dat,   113.485653560,        6.00, 0000 
             eiffel10.dat,     0.000000000,        0.00, 0311 
            eiffel371.dat,    80.130293160,        5.25, 0000 
            eiffel385.dat,     0.000000000,        0.00, 0331 
            eiffel428.dat,    85.817774459,        6.50, 0000 
            eiffel430.dat,    91.061538462,       10.50, 0000 
                esa40.dat,    85.364387678,        5.50, 0000 
               falcon.dat,    93.544303797,        8.25, 0000 
               fauvel.dat,   103.951985226,        3.25, 0000 
                  fg1.dat,   103.760107817,       11.50, 0000 
                  fg2.dat,   110.543237251,        7.00, 0000 
                  fg3.dat,   108.725314183,        6.00, 0000 
                  fg4.dat,    74.559770938,       14.50, 0000 
             fx049915.dat,   112.595419847,        2.25, 0000 
              fx05188.dat,     0.000000000,        0.00, 0077 
              fx05191.dat,   115.325443787,        2.25, 0000 
             fx057816.dat,   128.681318681,        1.00, 0000 
             fx05h126.dat,   152.492795389,       10.50, 0000 
             fx082512.dat,    98.731117825,       13.00, 0000 
             fx08s176.dat,   146.893004115,        1.75, 0000 
                  fx2.dat,   106.350282486,        0.00, 0000 
                  fx3.dat,    48.728908886,       13.50, 0000 
              fx38153.dat,    61.022530329,        9.75, 0000 
              fx60100.dat,   116.036505867,       11.00, 0000 
             fx601001.dat,   109.373576310,        8.00, 0000 
            fx60100sm.dat,   119.515151515,       10.75, 0000 
